"委員会","","ふりがな"
"新庁舎建設検討特別委員会","04_特別","しんちょうしゃけんせつけんとうとくべついいんかい"
"災害対策・街づくり推進特別委員会","04_特別","さいがいたいさく・まちづくりすいしんとくべついいんかい"
"文教委員会","03_常任","ぶんきょういいんかい"
"生活振興環境委員会","03_常任","せいかつしんこうかんきょういいんかい"
"熟年者支援特別委員会","04_特別","じゅくねんものしえんとくべついいんかい"
"行財政改革・都市戦略特別委員会","04_特別","ぎょうざいせいかいかく・としせんりゃくとくべついいんかい"
"臨時会","05_その他","りんじかい"
"懲罰特別委員会","04_特別","ちょうばつとくべついいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"福祉健康委員会","03_常任","ふくしけんこういいんかい"
"定例会","05_その他","ていれいかい"
"子育て・教育力向上特別委員会","04_特別","こそだて・きょういくちからこうじょうとくべついいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"行財政改革特別委員会","04_特別","ぎょうざいせいかいかくとくべついいんかい"
"総務委員会","03_常任","そうむいいんかい"
"議会改革検討委員会","03_常任","ぎかいかいかくけんとういいんかい"
"庁舎移転問題検討特別委員会","04_特別","ちょうしゃいてんもんだいけんとうとくべついいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"行財政改革・SDGs推進特別委員会","04_特別","ぎょうざいせいかいかく・SDGsすいしんとくべついいんかい"
"建設委員会","03_常任","けんせついいんかい"
"新庁舎建設等検討特別委員会","04_特別","しんちょうしゃけんせつなどけんとうとくべついいんかい"
